postcode,dwelling,rent_2016,rent_2021,rent_change_abs,rent_change_pct,income_2016,income_2021,afford_2016,afford_2021,afford_change,bonds_2016,bonds_2021,thin_data,locality,region,lat,long
4000,Flat 2,550.0,500.0,-50.0,-9.1,1728,1860,31.8,26.9,-4.9,354,432,N,BRISBANE,Brisbane Inner City,-27.468391,153.022126
4005,Flat 2,492.0,542.0,50.0,10.2,2054,2258,24.0,24.0,0.0,310,244,N,NEW FARM,Brisbane Inner City,-27.470078,153.045194
4006,Flat 2,490.0,500.0,10.0,2.0,1618,1871,30.3,26.7,-3.6,465,711,N,BOWEN BRIDGE,Brisbane Inner City,-27.36618,153.175242
4007,Flat 2,430.0,485.0,55.0,12.8,1918,2130,22.4,22.8,0.4,205,208,N,ASCOT,Brisbane Inner City,-27.436088,153.061914
4010,Flat 2,450.0,450.0,0.0,0.0,1724,1972,26.1,22.8,-3.3,82,49,N,ALBION,Brisbane Inner City,-27.433237,153.04354
4011,Flat 2,340.0,370.0,30.0,8.8,1828,2115,18.6,17.5,-1.1,134,100,N,CLAYFIELD,Brisbane Inner City,-27.419484,153.059749
4012,Flat 2,375.0,400.0,25.0,6.7,1726,2016,21.7,19.8,-1.9,225,189,N,NUNDAH,Brisbane Inner City,-27.399335,153.05355
4013,Flat 2,320.0,307.0,-13.0,-4.1,1672,2041,19.1,15.0,-4.1,35,23,N,NORTHGATE,Brisbane - North,-27.397055,153.074982
4017,Flat 2,305.0,320.0,15.0,4.9,1591,1934,19.2,16.5,-2.7,20,15,N,BRACKEN RIDGE,Brisbane - North,-27.318074,153.047339
4019,Flat 2,275.0,330.0,55.0,20.0,1138,1283,24.2,25.7,1.5,64,45,N,CLONTARF,Moreton Bay - South,-27.248337,153.088498
4020,Flat 2,320.0,360.0,40.0,12.5,1125,1365,28.4,26.4,-2.0,58,52,N,NEWPORT,Moreton Bay - North,-27.21066448,153.0900858
4030,Flat 2,380.0,400.0,20.0,5.3,1834,2131,20.7,18.8,-1.9,241,214,N,EILDON HILL,Brisbane Inner City,-27.42687,153.029681
4031,Flat 2,360.0,360.0,0.0,0.0,1796,2146,20.0,16.8,-3.2,132,69,N,GLEN KEDRON,Brisbane Inner City,-27.408542,153.030695
4032,Flat 2,390.0,410.0,20.0,5.1,1369,1582,28.5,25.9,-2.6,141,139,N,CHERMSIDE,Brisbane - North,-27.385605,153.019449
4034,Flat 2,345.0,365.0,20.0,5.8,1503,1808,23.0,20.2,-2.8,81,63,N,ASPLEY,Brisbane - North,-27.354711,153.040051
4051,Flat 2,350.0,390.0,40.0,11.4,1895,2318,18.5,16.8,-1.7,191,128,N,ALDERLEY,Brisbane Inner City,-27.427508,153.000297
4053,Flat 2,370.0,390.0,20.0,5.4,1759,2152,21.0,18.1,-2.9,89,77,N,BROOKSIDE CENTRE,Moreton Bay - South,-27.399573,152.98725
4059,Flat 2,425.0,450.0,25.0,5.9,1634,1934,26.0,23.3,-2.7,120,98,N,BALLYMORE,Brisbane Inner City,-27.452067,153.008893
4060,Flat 2,395.0,440.0,45.0,11.4,2289,2874,17.3,15.3,-2.0,49,32,N,ASHGROVE,Brisbane Inner City,-27.445107,152.985176
4064,Flat 2,420.0,480.0,60.0,14.3,2190,2434,19.2,19.7,0.5,113,89,N,BAROONA,Brisbane Inner City,-27.464676,152.999039
4065,Flat 2,415.0,370.0,-45.0,-10.8,2538,3394,16.4,10.9,-5.5,22,13,N,BARDON,Brisbane Inner City,-27.462504,152.975992
4066,Flat 2,400.0,430.0,30.0,7.5,1779,2013,22.5,21.4,-1.1,223,220,N,AUCHENFLOWER,Brisbane Inner City,-27.479866,152.964146
4067,Flat 2,429.0,400.0,-29.0,-6.8,1385,1761,31.0,22.7,-8.3,124,126,N,IRONSIDE,Brisbane - West,-27.500518,153.005045
4068,Flat 2,395.0,412.0,17.0,4.3,1730,2094,22.8,19.7,-3.1,265,226,N,CHELMER,Brisbane Inner City,-27.506907,152.976926
4075,Flat 2,360.0,400.0,40.0,11.1,1946,2239,18.5,17.9,-0.6,61,60,N,CORINDA,Ipswich,-27.552135,152.975619
4101,Flat 2,500.0,550.0,50.0,10.0,1728,1973,28.9,27.9,-1.0,359,586,N,HIGHGATE HILL,Brisbane Inner City,-27.484254,153.009661
4102,Flat 2,475.0,495.0,20.0,4.2,1489,1840,31.9,26.9,-5.0,175,193,N,BURANDA,Brisbane Inner City,-27.495458,153.0328
4103,Flat 2,350.0,360.0,10.0,2.9,1613,1909,21.7,18.9,-2.8,119,90,N,ANNERLEY,Brisbane - South,-27.512175,153.028768
4104,Flat 2,367.0,375.0,8.0,2.2,1665,1932,22.0,19.4,-2.6,36,28,N,YERONGA,Brisbane - South,-27.515758,153.011535
4105,Flat 2,350.0,360.0,10.0,2.9,1676,2001,20.9,18.0,-2.9,82,46,N,CLIFTON HILL,Brisbane - South,-27.534438,153.018893
4106,Flat 2,285.0,277.0,-8.0,-2.8,1375,1493,20.7,18.6,-2.1,5,6,Y,BRISBANE MARKET,Brisbane - West,-27.552137,153.004615
4108,Flat 2,420.0,405.0,-15.0,-3.6,1275,1567,32.9,25.8,-7.1,15,14,N,ARCHERFIELD,Brisbane - South,-27.568359,153.020197
4109,Flat 2,370.0,390.0,20.0,5.4,1388,1689,26.7,23.1,-3.6,20,30,N,ALTANDI,Brisbane - South,-27.57925,153.057452
4113,Flat 2,450.0,380.0,-70.0,-15.6,1530,1823,29.4,20.8,-8.6,5,13,Y,EIGHT MILE PLAINS,Brisbane - South,-27.590722,153.077926
4114,Flat 2,260.0,270.0,10.0,3.8,960,1080,27.1,25.0,-2.1,76,50,N,KINGSTON,Logan - Beaudesert,-27.652812,153.110764
4118,Flat 2,290.0,320.0,30.0,10.3,1557,1744,18.6,18.3,-0.3,9,11,Y,BROWNS PLAINS,Logan - Beaudesert,-27.673806,153.027323
4120,Flat 2,360.0,382.0,22.0,6.1,1671,1949,21.5,19.6,-1.9,105,120,N,GREENSLOPES,Brisbane - South,-27.508707,153.044217
4121,Flat 2,350.0,382.0,32.0,9.1,2031,2452,17.2,15.6,-1.6,41,58,N,EKIBIN,Brisbane - South,-27.526966,153.053952
4122,Flat 2,415.0,430.0,15.0,3.6,1594,1935,26.0,22.2,-3.8,117,149,N,MANSFIELD,Brisbane - South,-27.543316,153.088155
4127,Flat 2,297.0,320.0,23.0,7.7,1418,1602,20.9,20.0,-0.9,30,25,N,CHATSWOOD HILLS,Logan - Beaudesert,-27.629474,153.142035
4131,Flat 2,315.0,320.0,5.0,1.6,1320,1376,23.9,23.3,-0.6,9,22,Y,LOGANLEA,Logan - Beaudesert,-27.669913,153.136072
4132,Flat 2,300.0,315.0,15.0,5.0,1336,1437,22.5,21.9,-0.6,18,21,N,CRESTMEAD,Logan - Beaudesert,-27.681063,153.084397
4133,Flat 2,270.0,310.0,40.0,14.8,1334,1505,20.2,20.6,0.4,21,40,N,CHAMBERS FLAT,Logan - Beaudesert,-27.723837,153.102664
4151,Flat 2,360.0,390.0,30.0,8.3,1789,2105,20.1,18.5,-1.6,177,153,N,COORPAROO,Brisbane Inner City,-27.500807,153.058605
4152,Flat 2,380.0,415.0,35.0,9.2,1959,2318,19.4,17.9,-1.5,62,53,N,CAMP HILL,Brisbane Inner City,-27.501349,153.096812
4157,Flat 2,310.0,370.0,60.0,19.4,1520,1794,20.4,20.6,0.2,8,9,Y,CAPALABA,Brisbane - East,-27.568178,153.207096
4161,Flat 2,325.0,370.0,45.0,13.8,1591,1829,20.4,20.2,-0.2,10,5,Y,ALEXANDRA HILLS,Brisbane - East,-27.533407,153.226864
4163,Flat 2,355.0,400.0,45.0,12.7,1275,1430,27.8,28.0,0.2,24,15,N,CLEVELAND,Brisbane - East,-27.535216,153.26571
4169,Flat 2,455.0,500.0,45.0,9.9,1802,2057,25.2,24.3,-0.9,230,263,N,EAST BRISBANE,Brisbane Inner City,-27.484177,153.040982
4170,Flat 2,400.0,440.0,40.0,10.0,2065,2426,19.4,18.1,-1.3,182,170,N,CANNON HILL,Brisbane Inner City,-27.470778,153.074231
4171,Flat 2,395.0,450.0,55.0,13.9,2392,2830,16.5,15.9,-0.6,119,92,N,BALMORAL,Brisbane Inner City,-27.456031,153.06036
4172,Flat 2,400.0,430.0,30.0,7.5,2030,2362,19.7,18.2,-1.5,20,9,Y,MURARRIE,Brisbane Inner City,-27.458767,153.103331
4178,Flat 2,350.0,420.0,70.0,20.0,1467,1840,23.9,22.8,-1.1,31,30,N,LINDUM,Brisbane - East,-27.425651,153.232567
4179,Flat 2,340.0,380.0,40.0,11.8,1709,2085,19.9,18.2,-1.7,20,19,N,LOTA,Brisbane - East,-27.390823,153.234041
4207,Flat 2,270.0,300.0,30.0,11.1,1272,1494,21.2,20.1,-1.1,80,81,N,ALBERTON,Logan - Beaudesert,-27.733991,153.204523
4209,Flat 2,332.0,400.0,68.0,20.5,1705,1932,19.5,20.7,1.2,20,10,N,CANOWINDRA,Gold Coast,-27.805498,153.392892
4210,Flat 2,310.0,410.0,100.0,32.3,1745,2133,17.8,19.2,1.4,15,10,N,GUANABA,Gold Coast,-27.932207,153.279483
4211,Flat 2,340.0,410.0,70.0,20.6,1459,1727,23.3,23.7,0.4,49,23,N,ADVANCETOWN,Gold Coast,-28.035453,153.241258
4212,Flat 2,410.0,550.0,140.0,34.1,1688,1977,24.3,27.8,3.5,29,47,N,BOYKAMBIL,Gold Coast,-27.869823,153.360694
4213,Flat 2,350.0,450.0,100.0,28.6,1669,2057,21.0,21.9,0.9,6,5,Y,AUSTINVILLE,Gold Coast,-28.110164,153.318916
4214,Flat 2,350.0,570.0,220.0,62.9,1449,1740,24.2,32.8,8.6,22,18,N,ARUNDEL,Gold Coast,-27.967005,153.365576
4215,Flat 2,380.0,460.0,80.0,21.1,1034,1239,36.8,37.1,0.3,622,510,N,AUSTRALIA FAIR,Gold Coast,-27.967134,153.397952
4216,Flat 2,415.0,480.0,65.0,15.7,1180,1336,35.2,35.9,0.7,245,179,N,ANGLERS PARADISE,Gold Coast,-27.839347,153.419405
4217,Flat 2,450.0,525.0,75.0,16.7,1275,1466,35.3,35.8,0.5,538,442,N,BENOWA,Gold Coast,-28.008783,153.412197
4218,Flat 2,390.0,585.0,195.0,50.0,1399,1751,27.9,33.4,5.5,313,351,N,BROADBEACH,Gold Coast,-28.037627,153.41692
4220,Flat 2,410.0,560.0,150.0,36.6,1393,1746,29.4,32.1,2.7,172,151,N,BURLEIGH BC,Gold Coast,-28.084952,153.434406
4221,Flat 2,360.0,500.0,140.0,38.9,1308,1729,27.5,28.9,1.4,136,111,N,ELANORA,Gold Coast,-28.127323,153.45837
4223,Flat 2,382.0,550.0,168.0,44.0,1392,1749,27.4,31.4,4.0,34,19,N,CURRUMBIN,Gold Coast,-28.19076,153.415088
4224,Flat 2,350.0,500.0,150.0,42.9,1288,1737,27.2,28.8,1.6,32,25,N,TUGUN,Gold Coast,-28.150224,153.489332
4225,Flat 2,370.0,550.0,180.0,48.6,1039,1351,35.6,40.7,5.1,110,108,N,BILINGA,Gold Coast,-28.168787,153.517333
4226,Flat 2,430.0,510.0,80.0,18.6,1466,1729,29.3,29.5,0.2,69,43,N,CLEAR ISLAND WATERS,Gold Coast,-28.06794,153.40282
4227,Flat 2,420.0,510.0,90.0,21.4,1458,1791,28.8,28.5,-0.3,122,78,N,REEDY CREEK,Gold Coast,-28.101892,153.410392
4285,Flat 2,250.0,260.0,10.0,4.0,1296,1476,19.3,17.6,-1.7,21,17,N,ALLENVIEW,Logan - Beaudesert,-28.056979,152.975131
4300,Flat 2,280.0,310.0,30.0,10.7,1706,2032,16.4,15.3,-1.1,35,25,N,AUGUSTINE HEIGHTS,Ipswich,-27.682273,152.884999
4301,Flat 2,265.0,280.0,15.0,5.7,1369,1556,19.4,18.0,-1.4,21,20,N,COLLINGWOOD PARK,Ipswich,-27.629394,152.858086
4304,Flat 2,252.0,280.0,28.0,11.1,1140,1300,22.1,21.5,-0.6,20,19,N,BLACKSTONE,Ipswich,-27.620656,152.80457
4305,Flat 2,260.0,260.0,0.0,0.0,1253,1416,20.8,18.4,-2.4,84,58,N,BASIN POCKET,Ipswich,-27.627522,152.753696
4306,Flat 2,270.0,287.0,17.0,6.3,1663,2114,16.2,13.6,-2.6,9,10,Y,AMBERLEY,Wide Bay,-27.480898,152.725408
4350,Flat 2,245.0,285.0,40.0,16.3,1231,1428,19.9,20.0,0.1,426,310,N,ATHOL,Toowoomba,-27.576308,151.852689
4370,Flat 2,225.0,230.0,5.0,2.2,1024,1145,22.0,20.1,-1.9,35,37,N,ALLAN,Darling Downs - Maranoa,-28.195678,151.9514612
4380,Flat 2,230.0,215.0,-15.0,-6.5,919,1035,25.0,20.8,-4.2,9,11,Y,AMIENS,Darling Downs - Maranoa,-28.60158006,151.8126377
4390,Flat 2,195.0,235.0,40.0,20.5,1399,1641,13.9,14.3,0.4,20,30,N,BILLA BILLA,Darling Downs - Maranoa,-28.228906,150.321016
4401,Flat 2,210.0,220.0,10.0,4.8,1159,1291,18.1,17.0,-1.1,10,10,N,ACLAND,Darling Downs - Maranoa,-27.473135,151.703647
4405,Flat 2,180.0,255.0,75.0,41.7,1301,1447,13.8,17.6,3.8,39,26,N,BEELBEE,Wide Bay,-27.192428,151.396625
4413,Flat 2,170.0,245.0,75.0,44.1,1338,1560,12.7,15.7,3.0,15,16,N,AUBURN,Darling Downs - Maranoa,-26.706834,150.545144
4415,Flat 2,150.0,190.0,40.0,26.7,1116,1252,13.4,15.2,1.8,7,6,Y,BOORTKOI,Darling Downs - Maranoa,-26.627339,150.205114
4500,Flat 2,292.0,317.0,25.0,8.6,1683,1947,17.3,16.3,-1.0,28,18,N,BRAY PARK,Moreton Bay - South,-27.307845,152.939438
4501,Flat 2,277.0,310.0,33.0,11.9,1190,1371,23.3,22.6,-0.7,12,11,N,LAWNTON,Moreton Bay - South,-27.277628,152.946201
4503,Flat 2,285.0,310.0,25.0,8.8,1478,1705,19.3,18.2,-1.1,62,40,N,DAKABIN,Moreton Bay - South,-27.240638,152.993187
4505,Flat 2,270.0,310.0,40.0,14.8,1435,1753,18.8,17.7,-1.1,17,11,N,BURPENGARY,Moreton Bay - North,-27.153669,152.976886
4506,Flat 2,280.0,300.0,20.0,7.1,1328,1449,21.1,20.7,-0.4,24,36,N,MOORINA,Moreton Bay - North,-27.128401,152.936289
4507,Flat 2,297.0,306.0,9.0,3.0,860,961,34.5,31.8,-2.7,34,49,N,BANKSIA BEACH,Moreton Bay - North,-26.987776,153.12414
4508,Flat 2,258.0,340.0,82.0,31.8,1111,1270,23.2,26.8,3.6,16,21,N,DECEPTION BAY,Moreton Bay - North,-27.181203,153.013716
4509,Flat 2,365.0,370.0,5.0,1.4,1840,2113,19.8,17.5,-2.3,53,29,N,MANGO HILL,Moreton Bay - South,-27.232691,153.017319
4510,Flat 2,260.0,290.0,30.0,11.5,1114,1318,23.3,22.0,-1.3,100,57,N,BALINGOOL,Moreton Bay - North,-27.070177,152.960273
4551,Flat 2,340.0,450.0,110.0,32.4,1201,1489,28.3,30.2,1.9,155,99,N,AROONA,Sunshine Coast,-26.828067,153.088435
4552,Flat 2,310.0,367.0,57.0,18.4,1022,1259,30.3,29.2,-1.1,5,6,Y,BALD KNOB,Sunshine Coast,-26.734305,152.766898
4556,Flat 2,350.0,445.0,95.0,27.1,1384,1687,25.3,26.4,1.1,104,49,N,BUDERIM,Sunshine Coast,-26.700379,153.049784
4557,Flat 2,340.0,460.0,120.0,35.3,1410,1730,24.1,26.6,2.5,105,67,N,MOOLOOLABA,Sunshine Coast,-26.686321,153.113416
4558,Flat 2,360.0,472.0,112.0,31.1,1093,1384,32.9,34.1,1.2,185,136,N,COTTON TREE,Sunshine Coast,-26.655067,153.075373
4559,Flat 2,320.0,300.0,-20.0,-6.2,1372,1785,23.3,16.8,-6.5,7,5,Y,DIDDILLIBAH,Sunshine Coast,-26.66324,152.965013
4560,Flat 2,267.0,355.0,88.0,33.0,1158,1415,23.1,25.1,2.0,42,36,N,BLI BLI,Sunshine Coast,-26.635087,152.917384
4561,Flat 2,277.0,380.0,103.0,37.2,1422,1848,19.5,20.6,1.1,6,11,Y,BRIDGES,Sunshine Coast,-26.531487,152.964814
4564,Flat 2,350.0,450.0,100.0,28.6,1269,1495,27.6,30.1,2.5,50,27,N,MARCOOLA,Sunshine Coast,-26.612359,153.079239
4566,Flat 2,390.0,580.0,190.0,48.7,1152,1399,33.9,41.5,7.6,39,17,N,MUNNA POINT,Sunshine Coast,-26.411731,153.047416
4567,Flat 2,400.0,577.0,177.0,44.2,1373,1833,29.1,31.5,2.4,50,40,N,CASTAWAYS BEACH,Sunshine Coast,-26.408596,153.096957
4570,Flat 2,210.0,250.0,40.0,19.0,974,1169,21.6,21.4,-0.2,43,25,N,AMAMOOR,Wide Bay,-26.153831,152.616943
4572,Flat 2,360.0,500.0,140.0,38.9,1377,1682,26.1,29.7,3.6,55,29,N,ALEXANDRA HEADLAND,Sunshine Coast,-26.671589,153.101997
4573,Flat 2,360.0,480.0,120.0,33.3,1378,1771,26.1,27.1,1.0,44,35,N,COOLUM BEACH,Sunshine Coast,-26.516942,153.068303
4575,Flat 2,405.0,500.0,95.0,23.5,1361,1696,29.8,29.5,-0.3,101,93,N,BIRTINYA,Sunshine Coast,-26.742043,153.119478
4581,Flat 2,270.0,300.0,30.0,11.1,908,1006,29.7,29.8,0.1,8,5,Y,EURONG,Wide Bay,-25.990771,153.097862
4650,Flat 2,210.0,230.0,20.0,9.5,914,1035,23.0,22.2,-0.8,40,30,N,ALDERSHOT,Wide Bay,-25.640978,152.791302
4655,Flat 2,260.0,330.0,70.0,26.9,929,1109,28.0,29.8,1.8,141,73,N,BOORAL,Wide Bay,-25.337998,152.78368
4670,Flat 2,225.0,270.0,45.0,20.0,1003,1194,22.4,22.6,0.2,184,130,N,ABBOTSFORD,Wide Bay,-24.88776,152.297855
4680,Flat 2,150.0,250.0,100.0,66.7,1716,1746,8.7,14.3,5.6,236,142,N,BARMUNDU,Fitzroy,-23.446826,151.917285
4700,Flat 2,250.0,300.0,50.0,20.0,1188,1403,21.0,21.4,0.4,56,47,N,ALLENSTOWN,Fitzroy,-23.180174,150.958111
4701,Flat 2,202.0,260.0,58.0,28.7,1282,1496,15.8,17.4,1.6,130,95,N,BERSERKER,Fitzroy,-23.354937,150.557538
4703,Flat 2,270.0,350.0,80.0,29.6,1272,1636,21.2,21.4,0.2,69,35,N,ADELAIDE PARK,Fitzroy,-23.074563,150.894331
4717,Flat 2,125.0,190.0,65.0,52.0,2184,2358,5.7,8.1,2.4,6,13,Y,BLACKWATER,Fitzroy,-23.632816,148.891333
4720,Flat 2,170.0,272.0,102.0,60.0,1895,2203,9.0,12.3,3.3,56,48,N,EMERALD,Fitzroy,-23.68492,148.187851
4737,Flat 2,180.0,250.0,70.0,38.9,1367,1650,13.2,15.2,2.0,22,11,N,ARMSTRONG BEACH,Mackay,-21.43004,149.178072
4740,Flat 2,200.0,320.0,120.0,60.0,1442,1839,13.9,17.4,3.5,247,243,N,ALEXANDRA,Mackay,-21.33763,149.059737
4744,Flat 2,280.0,332.0,52.0,18.6,2421,3079,11.6,10.8,-0.8,15,16,N,MORANBAH,Mackay,-22.018392,148.045134
4751,Flat 2,250.0,350.0,100.0,40.0,1728,2156,14.5,16.2,1.7,7,7,Y,GREENMOUNT,Mackay,-21.221858,149.040703
4802,Flat 2,262.0,360.0,98.0,37.4,1347,1622,19.5,22.2,2.7,100,74,N,AIRLIE BEACH,Mackay,-20.271072,148.989038
4805,Flat 2,227.0,280.0,53.0,23.3,1090,1344,20.8,20.8,0.0,38,19,N,BINBEE,Mackay,-20.016612,148.457987
4807,Flat 2,200.0,240.0,40.0,20.0,1180,1353,16.9,17.7,0.8,19,28,N,AIRDMILLAN,Townsville,-19.914965,147.133033
4810,Flat 2,265.0,310.0,45.0,17.0,1357,1610,19.5,19.3,-0.2,333,235,N,BELGIAN GARDENS,Townsville,-19.227783,146.764659
4811,Flat 2,350.0,350.0,0.0,0.0,1512,1807,23.1,19.4,-3.7,62,63,N,CLUDEN,Townsville,-19.323109,146.840325
4812,Flat 2,200.0,275.0,75.0,37.5,1114,1352,18.0,20.3,2.3,169,131,N,CURRAJONG,Townsville,-19.286635,146.787716
4814,Flat 2,250.0,290.0,40.0,16.0,1488,1717,16.8,16.9,0.1,88,45,N,AITKENVALE,Townsville,-19.285821,146.754745
4815,Flat 2,220.0,280.0,60.0,27.3,1283,1486,17.1,18.8,1.7,18,9,Y,CONDON,Townsville,-19.372329,146.707586
4817,Flat 2,237.0,280.0,43.0,18.1,1588,1866,14.9,15.0,0.1,26,21,N,ALICE RIVER,Townsville,-19.310498,146.652307
4819,Flat 2,220.0,330.0,110.0,50.0,851,1001,25.9,33.0,7.1,17,6,Y,ARCADIA,Townsville,-19.143944,146.831766
4868,Flat 2,260.0,300.0,40.0,15.4,1350,1554,19.3,19.3,0.0,78,47,N,BAYVIEW HEIGHTS,Cairns,-16.993753,145.729193
4869,Flat 2,250.0,302.0,52.0,20.8,1433,1745,17.4,17.3,-0.1,21,12,N,BENTLEY PARK,Cairns,-17.025592,145.730423
4870,Flat 2,295.0,350.0,55.0,18.6,1275,1510,23.1,23.2,0.1,520,376,N,AEROGLEN,Cairns,-16.923761,145.742303
4873,Flat 2,237.0,272.0,35.0,14.8,1078,1218,22.0,22.3,0.3,10,10,N,BAILEY CREEK,Cairns,-16.230854,145.299094
4877,Flat 2,320.0,380.0,60.0,18.8,1274,1426,25.1,26.6,1.5,65,33,N,CRAIGLIE,Cairns,-16.535286,145.467604
4878,Flat 2,287.0,360.0,73.0,25.4,1324,1555,21.7,23.2,1.5,76,62,N,BARRON,Cairns,-16.839378,145.711531
4879,Flat 2,317.0,380.0,63.0,19.9,1470,1701,21.6,22.3,0.7,126,75,N,BUCHAN POINT,Cairns,-16.789777,145.666474
4880,Flat 2,240.0,270.0,30.0,12.5,1054,1304,22.8,20.7,-2.1,43,21,N,ARRIGA,Queensland - Outback,-17.0488028,145.2931511
4883,Flat 2,245.0,270.0,25.0,10.2,993,1153,24.7,23.4,-1.3,34,22,N,ATHERTON,Cairns,-17.33327,145.476659
